Tissue	Regulator	Bootstraps	Interactions
adipose-subcutaneous	TF	200	943628
adipose-subcutaneous	COTF	198	561917
adipose-subcutaneous	SIG	166	928511
adipose-visceral-omentum	TF	191	641411
adipose-visceral-omentum	COTF	199	418080
adipose-visceral-omentum	SIG	185	923169
artery-aorta	TF	200	940051
artery-aorta	COTF	200	590889
artery-aorta	SIG	200	1426107
artery-coronary	TF	193	908469
artery-coronary	COTF	200	706502
artery-coronary	SIG	200	1474355
artery-tibial	TF	199	968518
artery-tibial	COTF	194	575166
artery-tibial	SIG	193	1140993
brain-amygdala	TF	200	744747
brain-amygdala	COTF	200	425698
brain-amygdala	SIG	197	887173
brain-anterior-cingulate-cortex-ba24	TF	200	793969
brain-anterior-cingulate-cortex-ba24	COTF	200	468998
brain-anterior-cingulate-cortex-ba24	SIG	191	923392
brain-caudate-basal-ganglia	TF	200	667013
brain-caudate-basal-ganglia	COTF	200	409071
brain-caudate-basal-ganglia	SIG	183	728192
brain-cerebellar-hemisphere	TF	179	785880
brain-cerebellar-hemisphere	COTF	199	465893
brain-cerebellar-hemisphere	SIG	199	970197
brain-cerebellum	TF	190	761192
brain-cerebellum	COTF	196	481086
brain-cerebellum	SIG	200	1068515
brain-cortex	TF	200	732217
brain-cortex	COTF	182	396194
brain-cortex	SIG	199	861743
brain-frontal-cortex-ba9	TF	200	705944
brain-frontal-cortex-ba9	COTF	196	426279
brain-frontal-cortex-ba9	SIG	199	1052520
brain-hippocampus	TF	200	779384
brain-hippocampus	COTF	200	431304
brain-hippocampus	SIG	193	883593
brain-hypothalamus	TF	200	813812
brain-hypothalamus	COTF	200	419688
brain-hypothalamus	SIG	191	957334
brain-nucleus-accumbens-basal-ganglia	TF	200	688638
brain-nucleus-accumbens-basal-ganglia	COTF	200	418596
brain-nucleus-accumbens-basal-ganglia	SIG	154	770172
brain-putamen-basal-ganglia	TF	200	672497
brain-putamen-basal-ganglia	COTF	200	396896
brain-putamen-basal-ganglia	SIG	196	805773
brain-spinal-cord-cervical-c-1	TF	200	789478
brain-spinal-cord-cervical-c-1	COTF	200	488164
brain-spinal-cord-cervical-c-1	SIG	192	906213
brain-substantia-nigra	TF	192	708874
brain-substantia-nigra	COTF	198	440023
brain-substantia-nigra	SIG	192	867528
breast-mammary-tissue	TF	200	701394
breast-mammary-tissue	COTF	200	441624
breast-mammary-tissue	SIG	150	753053
colon-sigmoid	TF	200	915173
colon-sigmoid	COTF	200	650667
colon-sigmoid	SIG	193	1124659
colon-transverse	TF	195	628913
colon-transverse	COTF	197	395527
colon-transverse	SIG	155	613805
esophagus-gastroesophageal-junction	TF	200	808810
esophagus-gastroesophageal-junction	COTF	200	606585
esophagus-gastroesophageal-junction	SIG	194	1075476
esophagus-mucosa	TF	200	718748
esophagus-mucosa	COTF	199	440274
esophagus-mucosa	SIG	193	984342
esophagus-muscularis	TF	199	780674
esophagus-muscularis	COTF	196	470347
esophagus-muscularis	SIG	195	975504
heart-atrial-appendage	TF	200	714468
heart-atrial-appendage	COTF	200	448444
heart-atrial-appendage	SIG	160	750703
heart-left-ventricle	TF	200	614000
heart-left-ventricle	COTF	200	361693
heart-left-ventricle	SIG	178	731389
liver	TF	200	829969
liver	COTF	200	513532
liver	SIG	199	1256434
lung	TF	200	769061
lung	COTF	197	499317
lung	SIG	187	1057511
minor-salivary-gland	TF	200	826040
minor-salivary-gland	COTF	199	615615
minor-salivary-gland	SIG	191	1016760
muscle-skeletal	TF	200	695980
muscle-skeletal	COTF	200	446888
muscle-skeletal	SIG	184	836803
nerve-tibial	TF	195	912078
nerve-tibial	COTF	197	529233
nerve-tibial	SIG	199	1042844
ovary	TF	200	1048321
ovary	COTF	196	661060
ovary	SIG	196	1548330
pancreas	TF	200	617022
pancreas	COTF	200	396456
pancreas	SIG	172	681390
pituitary	TF	172	779381
pituitary	COTF	198	652572
pituitary	SIG	196	1224576
prostate	TF	200	1037192
prostate	COTF	196	621758
prostate	SIG	195	1293664
skin-not-sun-exposed-suprapubic	TF	200	886862
skin-not-sun-exposed-suprapubic	COTF	200	534912
skin-not-sun-exposed-suprapubic	SIG	192	1077923
skin-sun-exposed-lower-leg	TF	200	838104
skin-sun-exposed-lower-leg	COTF	198	541149
skin-sun-exposed-lower-leg	SIG	191	1004089
small-intestine-terminal-ileum	TF	200	698070
small-intestine-terminal-ileum	COTF	200	457524
small-intestine-terminal-ileum	SIG	200	925326
spleen	TF	188	810057
spleen	COTF	200	566413
spleen	SIG	198	1338456
stomach	TF	200	683947
stomach	COTF	200	393020
stomach	SIG	154	671714
testis	TF	200	797073
testis	COTF	200	452939
testis	SIG	166	833663
thyroid	TF	200	815386
thyroid	COTF	197	569321
thyroid	SIG	191	1201778
uterus	TF	200	1049207
uterus	COTF	197	670674
uterus	SIG	200	1331569
vagina	TF	199	830262
vagina	COTF	200	517057
vagina	SIG	193	1163394
whole-blood	TF	194	490348
whole-blood	COTF	198	304788
whole-blood	SIG	121	457193
